partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility
DeepLearningAI,Generative AI for Everyone,"[Strategy, Writing]",49,188,Beginner , Course , 1 - 4 Weeks,false
IBM,IBM DevOps and Software Engineering,"[DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Product Management, Software-Defined Networking, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions]",46,432000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Full Stack Software Developer,"[Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Web Development Tools, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Leadership and Management, Mergers & Acquisitions, React (web framework)]",46,412000,Beginner , Professional Certificate , 3 - 6 Months,true
IBM,Key Technologies for Business,"[Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Data Analysis, Big Data, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing]",47,815000,Beginner , Specialization , 1 - 3 Months,false
IBM,Data Science Fundamentals with Python and SQL,"[Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Science, Plot (Graphics), R Programming, Computational Thinking, Data Management, Database Application, Database Design, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud]",46,592000,Beginner , Specialization , 3 - 6 Months,true
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy,"[Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel]",47,297000,Beginner , Specialization , 3 - 6 Months,false
IBM,IBM Data Engineering,"[Data Management, Databases, Database Administration, Extract, Transform, Load, Big Data, SQL, Python Programming, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, Cloud Storage, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, Software Architecture, PostgreSQL, Computational Thinking, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science]",46,462000,Beginner , Professional Certificate , 3 - 6 Months,true
IBM,IBM Data Analytics with Excel and R,"[Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Python Programming, Data Science, NoSQL]",47,199000,Beginner , Professional Certificate , 3 - 6 Months,true
IBM,Data Analysis and Visualization Foundations,"[Microsoft Excel, Spreadsheet Software, Data Visualization, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software]",47,193000,Beginner , Specialization , 3 - 6 Months,true
DeepLearningAI,Deep Learning,"[Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Exploratory Data Analysis, Organizational Development, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus]",48,1415000,Intermediate , Specialization , 3 - 6 Months,true
IBM,IBM AI Foundations for Business,"[Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Business Transformation, Cloud Computing, Strategy, Big Data, Data Mining, Innovation, Regression, Writing]",47,772000,Beginner , Specialization , 1 - 3 Months,false
IBM,Data Engineering Foundations,"[Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Computational Thinking, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science]",46,451000,Beginner , Specialization , 3 - 6 Months,false
IBM,IBM Back-End Development,"[Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, Product Management, SQL, Software-Defined Networking, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions]",46,367000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Applied Data Science,"[Python Programming, Data Visualization, Statistical Programming, Data Analysis, Machine Learning, Statistical Visualization, Plot (Graphics), Algorithms, Computer Programming, Data Science, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Probability & Statistics, Regression]",46,485000,Beginner , Specialization , 3 - 6 Months,true
IBM,IBM Applied AI,"[Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Software As A Service, User Experience Design, Data Science]",46,462000,Beginner , Professional Certificate , 3 - 6 Months,false
Macquarie University,Excel Skills for Business,"[Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management]",49,59000,Beginner , Specialization , 3 - 6 Months,false
IBM,Applied Software Engineering Fundamentals,"[Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Product Management, Software-Defined Networking, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions]",46,36000,Beginner , Specialization , 3 - 6 Months,false
DeepLearningAI,Generative AI with Large Language Models,"[Machine Learning, Natural Language Processing, Python Programming]",48,13000,Intermediate , Course , 1 - 4 Weeks,false
Google,Google Advanced Data Analytics,"[Communication, Computer Programming, Data Analysis, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software]",47,22000,Advanced , Professional Certificate , 3 - 6 Months,false
IBM,DevOps Cloud and Agile Foundations,"[DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management]",47,77000,Beginner , Specialization , 3 - 6 Months,false
Meta,Meta Front-End Developer,"[HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing]",47,147000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Cloud Application Development Foundations,"[Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Web Development Tools, NoSQL, Computer Science, React (web framework)]",46,61000,Beginner , Specialization , 3 - 6 Months,false
Google,Foundations of Project Management,"[Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning]",49,737000,Beginner , Course , 1 - 4 Weeks,false
Google,Foundations of Cybersecurity,"[Linux, Computer Programming, Leadership and Management, SQL]",49,118000,Beginner , Course , 1 - 4 Weeks,false
IBM,IBM IT Support,"[Customer Success, Cloud Computing, Computer Networking, Strategy and Operations, Operating Systems, Cloud Storage, Cloud Applications, Leadership and Management, System Security, Customer Support, Communication, Computer Programming, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering]",47,66000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Foundations: Data Data Everywhere,"[Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel]",48,939000,Beginner , Course , 1 - 3 Months,false
SkillUp EdTech,IBM IT Project Manager,"[Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Product Management, Scrum (Software Development), Software-Defined Networking, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management]",48,24000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Google IT Automation with Python,"[Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming]",47,42000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Information Technology (IT) and Cloud Fundamentals,"[Cloud Computing, Computer Networking, Operating Systems, Cloud Storage, System Security, Cloud Applications, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering]",47,61000,Beginner , Specialization , 3 - 6 Months,false
Vanderbilt University,Prompt Engineering,"[Creativity, Data Analysis, Problem Solving, Writing]",48,18000,Beginner , Specialization , 1 - 3 Months,false
Microsoft,Microsoft Power BI Data Analyst,"[Data Analysis, Data Management, Data Mining, Data Model, Extract, Transform, Load, Microsoft Excel, Power BI, SQL]",46,907,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Data Warehouse Engineer,"[Data Management, Databases, Database Administration, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Database Design, Data Structures, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, Computational Thinking, PostgreSQL, Software Architecture, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science]",47,36000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Cybersecurity Analyst,"[Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security]",46,217000,Beginner , Professional Certificate , 3 - 6 Months,true
DeepLearningAI,AI For Everyone,"[Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management]",48,394000,Beginner , Course , 1 - 4 Weeks,false
DeepLearningAI,Supervised Machine Learning: Regression and Classification,"[Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming]",49,15000,Beginner , Course , 1 - 4 Weeks,false
IBM,IBM DevOps and Software Engineering,"[]",0,0,Beginner ,0,0,false
IBM,IBM Front-End Developer,"[Software Engineering, Cloud Applications, Application Development, Computer Programming, Software Engineering Tools, Cloud Computing, IBM Cloud, Programming Principles, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Web Development Tools, Continuous Delivery, Front-End Web Development, Leadership and Management, Product Management, Software-Defined Networking, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Strategy]",46,16000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Technical Support Fundamentals,"[Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware]",48,1456000,Beginner , Course , 1 - 3 Months,false
University of Pennsylvania,Business Foundations,"[Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Customer Relationship Management, Data Analysis, Digital Marketing, Mathematical Theory & Analysis, Change Management, Human Resources Operations, Talent Management, Operations Management]",47,241000,Beginner , Specialization , 3 - 6 Months,false
IBM,BI Foundations with SQL ETL and Data Warehousing,"[Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Computational Thinking, Database Design, Database Theory, Leadership and Management, Linux, SQL, Software Architecture, Business Intelligence, IBM Cloud]",46,196000,Beginner , Specialization , 3 - 6 Months,false
IBM,AI Foundations for Everyone,"[Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Data Analysis, Cloud API, Computer Programming, Data Science]",47,131000,Beginner , Specialization , 3 - 6 Months,false
SkillUp EdTech,IBM IT Scrum Master,"[DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Product Management, Scrum (Software Development), Software-Defined Networking, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming]",48,38000,Beginner , Professional Certificate , 3 - 6 Months,false
SkillUp EdTech,IBM Project Manager,"[Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management]",48,18000,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,IBM Applied DevOps Engineering,"[DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Computer Programming, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management]",47,41000,Intermediate , Professional Certificate , 3 - 6 Months,false
IBM,IBM AI Engineering,"[Machine Learning, Deep Learning, Human Learning, Artificial Neural Networks, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Statistical Machine Learning, Network Model, Computer Vision, Apache, Big Data, Data Analysis, Mathematical Theory & Analysis, Computer Programming, Network Architecture, Data Visualization, Extract, Transform, Load, Plot (Graphics), Tensorflow, Visualization (Computer Graphics), Customer Analysis, Decision Making, Dimensionality Reduction, Data Science]",46,173000,Intermediate , Professional Certificate , 3 - 6 Months,false
IBM,IT Fundamentals for Cybersecurity,"[Cryptography, Network Security, Linux, Networking Hardware, Security Software, System Software, Cloud Computing, Cyberattacks, Databases, Leadership and Management, Operating Systems, SQL, System Security]",46,196000,Beginner , Specialization , 3 - 6 Months,false
DeepLearningAI,Mathematics for Machine Learning and Data Science,"[Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis]",46,13000,Beginner , Specialization , 1 - 3 Months,false
University of Michigan,Python for Everybody,"[Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Management, Database Application, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, Extract, Transform, Load, SQL, HTML and CSS]",48,2686000,Beginner , Specialization , 3 - 6 Months,false
Meta,Meta React Native,"[React (web framework), Javascript, Mobile Development, Mobile Development Tools, Web Development, HTML and CSS, Front-End Web Development, Web Development Tools, Application Development, Computer Programming, Programming Principles, User Experience, Web Design, Software Engineering Tools, SQL, Software Engineering, Agile Software Development, Collaboration, Data Management, Human Computer Interaction, Interactive Design, Linux, Product Design, Product Lifecycle, Project Management]",47,67000,Beginner , Specialization , 3 - 6 Months,false
Google,Project Execution: Running the Project,"[Leadership and Management, Communication, Project Management, Strategy and Operations, Business Communication, Collaboration, Risk Management, Planning]",48,71000,Beginner , Course , 1 - 3 Months,false
Coursera Project Network,Tableau Public for Project Management and Beyond,"[]",0,0,,0,0,false
Meta,Meta Social Media Marketing,"[Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship]",48,175000,Beginner , Professional Certificate , 3 - 6 Months,true
Google,Foundations of Digital Marketing and E-commerce,"[Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media]",48,156000,Beginner , Course , 1 - 4 Weeks,false
Vanderbilt University,Prompt Engineering for ChatGPT,"[Creativity, Problem Solving, Writing]",48,17000,Beginner , Course , 1 - 3 Months,false
University of Pennsylvania,Finance & Quantitative Modeling for Analysts,"[Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Correlation And Dependence, Data Model, Decision Making, Regression, Generally Accepted Accounting Principles (GAAP), Management Accounting, Statistical Tests, Strategy and Operations, Budget Management, Microsoft Excel, Spreadsheet Software, Entrepreneurship, Linear Algebra, Computer Programming]",45,157000,Beginner , Specialization , 3 - 6 Months,false
University of Pennsylvania,Introduction to Finance and Accounting,"[Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Decision Making, Investment Management, Taxes, Budget Management, Estimation, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Data Analysis, Entrepreneurship, Strategy and Operations]",46,129000,Beginner , Specialization , 3 - 6 Months,false
Stanford University,AI in Healthcare,"[Machine Learning, Leadership and Management, Data Analysis, Data Mining]",47,13000,Beginner , Specialization , 3 - 6 Months,false
DeepLearningAI,Machine Learning Engineering for Production (MLOps),"[Machine Learning, Applied Machine Learning, Python Programming, Statistical Programming, Tensorflow, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Deep Learning, Google Cloud Platform, Other Cloud Platforms and Tools, Performance Management, Kubernetes, Leadership and Management]",47,33000,Advanced , Specialization , 3 - 6 Months,false
Google,Play It Safe: Manage Security Risks,"[Audit, Leadership and Management, Risk Management]",48,36000,Beginner , Course , 1 - 4 Weeks,false
University of Michigan,Python 3 Programming,"[Python Programming, Computer Programming, Problem Solving]",47,213000,Beginner , Specialization , 3 - 6 Months,false
DeepLearningAI,Natural Language Processing,"[Natural Language Processing, Machine Learning, Python Programming, Statistical Programming, Artificial Neural Networks, Deep Learning, Probability & Statistics, Statistical Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Human Learning, Mathematics]",46,55000,Intermediate , Specialization , 3 - 6 Months,false
DeepLearningAI,DeepLearningAI TensorFlow Developer,"[Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Algorithms, Data Visualization, Network Model, Statistical Machine Learning, Statistical Analysis]",47,243000,Intermediate , Professional Certificate , 3 - 6 Months,false
Meta,Meta Back-End Developer,"[Python Programming, Databases, HTML and CSS, SQL, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, React (web framework), Software Testing, Web Development, Application Development, Back-End Web Development, Cloud API, Cloud Computing, Cloud Infrastructure, Collaboration, Communication, Computer Programming, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, DevOps, Django (Web Framework), Front-End Web Development, Full-Stack Web Development, Javascript, Kubernetes, Linux, Problem Solving, Semantic Web, Software Engineering, Software Engineering Tools, Statistical Programming, Tensorflow, Web Design, Web Development Tools]",47,61000,Beginner , Professional Certificate , 3 - 6 Months,false
Meta,Meta iOS Developer,"[Mobile Development, Swift Programming, iOS Development, Computer Programming, Mobile Development Tools, React (web framework), Application Development, Software Engineering, Data Structures, User Experience, User Experience Design, Web Development, Computer Programming Tools, Software Engineering Tools, Front-End Web Development, Algorithms, Computer Science, Interactive Design, Javascript, Collaboration, Communication, Data Management, Django (Web Framework), Human Computer Interaction, Linux, Problem Solving, Product Design, Software Architecture, Web Design]",47,49000,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Foundations of User Experience (UX) Design,"[User Experience, User Experience Design, User Research, Product Development]",48,604000,Beginner , Course , 1 - 4 Weeks,false
Meta,Meta Android Developer,"[Mobile Development, Computer Programming, React (web framework), Mobile Development Tools, Application Development, Software Engineering, Android Development, Other Programming Languages, Web Development, User Experience, Algorithms, Computer Science, Front-End Web Development, Javascript, Programming Principles, Cloud API, Collaboration, Communication, Data Management, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, SQL, Software Architecture, Software Engineering Tools, Swift Programming, Web Design]",46,51000,Beginner , Professional Certificate , 3 - 6 Months,false
University of Pennsylvania,Business and Financial Modeling,"[Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Financial Accounting, Microsoft Excel, Linear Algebra, Performance Management, Cash Management, General Accounting, Computer Programming]",45,106000,Beginner , Specialization , 3 - 6 Months,false
